name,score,us_modern_2010_plus,nyc_recent_2018_plus
Alec,2408,2408,0
Jalen,2405,2405,0
Anabelle,2405,2405,0
Dulce,2396,2396,0
Tenley,2394,2394,0
Skyla,2390,2070,40
Averie,2386,2386,0
Lindsey,2385,2385,0
Lillie,2385,2385,0
Ellis,2384,1944,55
Bridget,2381,2381,0
Danica,2375,2375,0
Maia,2359,1527,104
Lexie,2352,2352,0
Issac,2342,2342,0
Rhys,2338,2058,35
Luciana,2336,1824,64
Lilyana,2335,2335,0
Pierce,2335,2143,24
Journee,2334,1606,91
Priscilla,2330,2330,0
Erica,2330,2330,0
Curtis,2329,2329,0
Beatrice,2324,1428,112
Mikaela,2320,2144,22
Alvin,2317,1717,75
Atticus,2314,2314,0
Jayceon,2313,1969,43
Lea,2313,1745,71
Alberto,2298,2298,0
Zev,2296,424,234
Shmuel,2295,559,217
Baila,2293,341,244
Mekhi,2291,1971,40
Arturo,2289,2209,10
Isaias,2285,1837,56
Ryland,2284,2284,0
Luka,2284,1236,131
Frederick,2279,1847,54
Johanna,2268,2268,0
Lauryn,2268,2188,10
Annika,2268,2172,12
Remy,2265,1289,122
Malcolm,2264,2080,23
Estrella,2259,2259,0
Kenley,2257,2257,0
Bruce,2256,2256,0
Raphael,2250,1330,115
Amalia,2247,807,180
Alma,2242,1138,138
Arjun,2240,1784,57
Yahir,2230,2230,0
Marlee,2224,2224,0
Emilee,2224,2224,0
Gunnar,2223,2223,0
Raizy,2223,319,238
Elian,2222,830,174
Caylee,2221,2221,0
Kieran,2216,1768,56
Kaliyah,2210,2026,23
Simone,2207,1559,81
Lawrence,2205,2205,0
Yaakov,2202,570,204
Yakov,2195,347,231
Bryant,2194,2106,11
Ricky,2191,2191,0
Siena,2187,1627,70
Amani,2186,2106,10
Marvin,2182,2182,0
Aarav,2179,1675,63
Gianni,2176,2000,22
Aspen,2173,2173,0
Avraham,2171,443,216
Cason,2170,2170,0
Ezequiel,2168,1696,59
